    Finished release [optimized] target(s) in 0.03s
     Running `/home/rule/library/list-routine-learning-rs/target/release/simulation small_simulation.toml 5 /home/rule/library/list-routines-model-comparison/waves/3_1/json/c036_5.json out/1595515534/results/c036_5_best.csv out/1595515534/results/c036_5_predictions.csv out/1595515534/results/c036_5_all.csv /dev/null`
# loaded parameters
# loaded lexicon
#   C/0: list → list
#   TRUE/0: bool
#   FALSE/0: bool
#   NIL/0: list
#   CONS/0: nat → list → list
#   0/0: digit
#   1/0: digit
#   2/0: digit
#   3/0: digit
#   4/0: digit
#   5/0: digit
#   6/0: digit
#   7/0: digit
#   8/0: digit
#   9/0: digit
#   DIGIT/0: digit → nat
#   NAN/0: nat
#   ./2: ∀t1. ∀t2. (t1 → t2) → t1 → t2
#   EMPTY/0: list → bool
#   EQUAL/0: ∀t0. t0 → t0 → bool
#   HEAD/0: list → nat
#   IF/0: ∀t0. bool → t0 → t0 → t0
#   TAIL/0: list → list
#   +/0: nat → nat → nat
#   -/0: nat → nat → nat
#   >/0: nat → nat → bool
# loaded background
# loaded data
#   Datum { i: IntList([9, 6, 9, 6, 9, 6]), o: IntList([6, 6, 9, 9, 9, 6]) }
#   Datum { i: IntList([5, 3, 3, 2, 4]), o: IntList([2, 3, 3, 5, 4]) }
#   Datum { i: IntList([5, 3, 2, 9, 7, 3, 3, 0]), o: IntList([5, 2, 3, 9, 7, 3, 3, 0]) }
#   Datum { i: IntList([6, 0, 8, 2, 5, 2, 1, 7, 3, 4]), o: IntList([2, 0, 8, 6, 5, 2, 1, 7, 3, 4]) }
#   Datum { i: IntList([7, 0, 4, 1, 2, 9, 8, 6, 5]), o: IntList([1, 0, 4, 7, 2, 9, 8, 6, 5]) }
#   Datum { i: IntList([5, 8, 5, 8, 3, 6, 1]), o: IntList([5, 5, 8, 8, 3, 6, 1]) }
#   Datum { i: IntList([1, 4, 0, 4]), o: IntList([1, 0, 4, 4]) }
#   Datum { i: IntList([0, 4, 1, 9, 7]), o: IntList([0, 1, 4, 9, 7]) }
#   Datum { i: IntList([7, 5, 0, 7, 1, 2]), o: IntList([7, 0, 5, 7, 1, 2]) }
#   Datum { i: IntList([6, 2, 9, 1, 4, 3, 0]), o: IntList([1, 2, 9, 6, 4, 3, 0]) }
#   Datum { i: IntList([8, 8, 7, 8]), o: IntList([8, 7, 8, 8]) }
# searching
problem,run,order,trial,steps,tree,hypotheses,search_time,total_time
c036,0,5,1,1256443,1256445,1156013,600.000168971,601.863387226
c036,0,5,2,252069,254034,246672,1200.0011495210001,1202.415035597
c036,0,5,3,166247,167242,160475,1800.001320714,1802.735324892
c036,0,5,4,88468,89401,88739,2400.009010668,2403.107818947
c036,0,5,5,59525,60227,59882,3000.015654484,3003.423702682
c036,0,5,6,44513,45188,44851,3600.0192594990003,3603.781914372
c036,0,5,7,33891,34498,34217,4200.020458078,4204.17372423
c036,0,5,8,33591,34242,33987,4800.023232075,4804.488115202
c036,0,5,9,29976,30646,30423,5400.078684848,5404.916349114
c036,0,5,10,27221,27896,27624,6000.094042221001,6005.198394474
c036,0,5,11,20689,21417,21345,6600.104097466001,6605.529525029
# search time: 6600.104s
# total time: 6605.771s
c036,1,5,1,1224896,1224898,1150484,600.003846484,600.314187713
c036,1,5,2,253270,255349,247774,1200.0044408499998,1200.541800805
c036,1,5,3,162615,163603,157073,1800.0065930709998,1800.71790844
c036,1,5,4,86835,87899,87244,2400.0133390969995,2400.900554429
c036,1,5,5,58058,58768,58452,3000.0193493279994,3001.065936274
c036,1,5,6,43908,44585,44141,3600.0214261619994,3601.241023147
c036,1,5,7,35962,36660,36419,4200.039918408999,4201.424994134
c036,1,5,8,32059,32849,32621,4800.069017823999,4801.612322025
c036,1,5,9,29473,30123,29917,5400.082819381999,5401.832157507
c036,1,5,10,26160,26915,26673,6000.098157370999,6002.072885597
c036,1,5,11,20885,21533,21420,6600.112854097999,6602.222030344
# search time: 6600.113s
# total time: 13208.510s
c036,2,5,1,1232854,1232856,1133365,600.000116626,600.233133168
c036,2,5,2,249902,251912,244465,1200.000716729,1200.400506597
c036,2,5,3,168365,169402,163264,1800.005710887,1800.530876201
c036,2,5,4,84425,85444,84939,2400.0098723,2400.65834877
c036,2,5,5,58357,59061,58739,3000.019969795,3000.807739689
c036,2,5,6,43013,43745,43433,3600.0220378000004,3600.935908347
c036,2,5,7,35229,35909,35663,4200.023495913,4201.079921401
c036,2,5,8,33033,33773,33470,4800.041677192,4801.189790015
c036,2,5,9,29083,29849,29646,5400.06912989,5401.320685825
c036,2,5,10,25813,26558,26334,6000.078766753,6001.460727262
c036,2,5,11,20268,20995,20895,6600.084790094001,6601.652045871
# search time: 6600.085s
# total time: 19810.400s
c036,3,5,1,1271099,1271101,1170933,600.000433515,600.241922313
c036,3,5,2,250267,252662,245140,1200.000617965,1200.373534485
