    Finished release [optimized] target(s) in 0.03s
     Running `/home/rule/library/list-routine-learning-rs/target/release/simulation small_simulation.toml 5 /home/rule/library/list-routines-model-comparison/waves/3_1/json/c031_1.json out/1595515534/results/c031_1_best.csv out/1595515534/results/c031_1_predictions.csv out/1595515534/results/c031_1_all.csv /dev/null`
# loaded parameters
# loaded lexicon
#   C/0: list → list
#   TRUE/0: bool
#   FALSE/0: bool
#   NIL/0: list
#   CONS/0: nat → list → list
#   0/0: digit
#   1/0: digit
#   2/0: digit
#   3/0: digit
#   4/0: digit
#   5/0: digit
#   6/0: digit
#   7/0: digit
#   8/0: digit
#   9/0: digit
#   DIGIT/0: digit → nat
#   NAN/0: nat
#   ./2: ∀t1. ∀t2. (t1 → t2) → t1 → t2
#   EMPTY/0: list → bool
#   EQUAL/0: ∀t0. t0 → t0 → bool
#   HEAD/0: list → nat
#   IF/0: ∀t0. bool → t0 → t0 → t0
#   TAIL/0: list → list
#   +/0: nat → nat → nat
#   -/0: nat → nat → nat
#   >/0: nat → nat → bool
# loaded background
# loaded data
#   Datum { i: IntList([6, 6, 6, 8]), o: IntList([6, 8]) }
#   Datum { i: IntList([0, 0, 5, 5, 0, 5, 5, 0]), o: IntList([5, 5, 0, 5, 5, 0]) }
#   Datum { i: IntList([1, 4, 4]), o: IntList([1]) }
#   Datum { i: IntList([4, 4, 8, 3, 4, 9, 9, 9, 3, 6]), o: IntList([8, 3, 4, 9, 9, 9, 3, 6]) }
#   Datum { i: IntList([4, 0, 2, 4, 2, 2, 7, 9, 9]), o: IntList([4, 0, 2, 4, 2, 2, 7]) }
#   Datum { i: IntList([8, 8, 9, 2, 2, 3, 0, 5, 6]), o: IntList([9, 2, 2, 3, 0, 5, 6]) }
#   Datum { i: IntList([3, 7, 7, 6, 9, 2, 2]), o: IntList([3, 7, 7, 6, 9]) }
#   Datum { i: IntList([4, 1, 6, 4, 4]), o: IntList([4, 1, 6]) }
#   Datum { i: IntList([3, 3, 5, 0, 0, 3]), o: IntList([5, 0, 0, 3]) }
#   Datum { i: IntList([6, 8, 3, 2, 5, 8, 9, 9]), o: IntList([6, 8, 3, 2, 5, 8]) }
#   Datum { i: IntList([7, 1, 1, 1, 8, 7, 7, 8, 1, 1]), o: IntList([7, 1, 1, 1, 8, 7, 7, 8]) }
# searching
problem,run,order,trial,steps,tree,hypotheses,search_time,total_time
c031,0,1,1,1219466,1219468,1140791,600.000810876,601.91137986
c031,0,1,2,447774,448527,436343,1200.0012724049998,1202.478702654
c031,0,1,3,164611,165780,162787,1800.002099078,1802.874408417
c031,0,1,4,187066,187848,184552,2400.004842126,2403.134037629
c031,0,1,5,88738,89780,88802,3000.01142579,3003.391659491
c031,0,1,6,63074,63793,63476,3600.016718859,3603.781200185
c031,0,1,7,46585,47367,47036,4200.036798274,4204.079746377
c031,0,1,8,39480,40202,39846,4800.042698744,4804.355019221
c031,0,1,9,40322,40980,40831,5400.044342814,5404.772436071
c031,0,1,10,32527,33204,33043,6000.048477435,6005.01837562
c031,0,1,11,27843,28590,28382,6600.064321776,6605.291149697
# search time: 6600.064s
# total time: 6605.531s
c031,1,1,1,1280982,1280984,1181318,600.000922508,600.281933903
c031,1,1,2,452450,454656,442419,1200.002004504,1200.524490675
c031,1,1,3,165166,166383,162693,1800.003104083,1800.703994279
c031,1,1,4,185996,186865,183678,2400.005654622,2400.833442278
c031,1,1,5,85570,86650,85800,3000.014584521,3000.965018284
c031,1,1,6,62475,63233,62961,3600.018266406,3601.168944229
c031,1,1,7,45986,46544,46278,4200.033163212,4201.344568851
c031,1,1,8,38999,39677,39351,4800.054085964,4801.533407886
c031,1,1,9,39849,40569,40381,5400.054807279,5401.737895392
c031,1,1,10,31795,32493,32323,6000.058584999,6001.874698499
c031,1,1,11,27702,28424,28207,6600.059087132,6601.977463643
# search time: 6600.059s
# total time: 13207.876s
c031,2,1,1,1315258,1315260,1212587,600.000570779,600.237191804
c031,2,1,2,452218,453350,440672,1200.001210378,1200.408289299
c031,2,1,3,172889,174045,170628,1800.003168657,1800.527048618
c031,2,1,4,186089,186939,183803,2400.005258477,2400.631933532
c031,2,1,5,82681,83659,82816,3000.0055303090003,3000.732526734
c031,2,1,6,62274,62993,62678,3600.005872957,3600.866520862
c031,2,1,7,45926,46632,46383,4200.012751914001,4200.997013323
c031,2,1,8,39280,39918,39595,4800.034699833001,4801.119805244
c031,2,1,9,39753,40524,40346,5400.041283186,5401.251440308
c031,2,1,10,32603,33214,33021,6000.044031410001,6001.375691472
c031,2,1,11,27047,27785,27588,6600.061293159,6601.530311443
# search time: 6600.061s
# total time: 19809.917s
c031,3,1,1,1231767,1231769,1142518,600.003344111,600.188484642
c031,3,1,2,449974,452067,439495,1200.004969858,1200.331288591
c031,3,1,3,173844,174870,171395,1800.0055489810002,1800.426640353
c031,3,1,4,186137,186866,183586,2400.007809356,2400.508222903
c031,3,1,5,86012,86924,85912,3000.015759728,3000.587085344
c031,3,1,6,62008,62673,62363,3600.01629466,3600.682895449
c031,3,1,7,45399,46071,45874,4200.022428706,4200.76987571
c031,3,1,8,39232,39900,39570,4800.026731496,4800.848364214
c031,3,1,9,39958,40631,40480,5400.028427130001,5400.954949793
c031,3,1,10,32264,32886,32707,6000.034676742001,6001.013063393
c031,3,1,11,27111,27798,27647,6600.039033162,6601.144199737
# search time: 6600.039s
# total time: 26411.296s
c031,4,1,1,1221243,1221245,1140467,600.003940944,600.187077182
c031,4,1,2,444984,447032,434740,1200.004044176,1200.309385474
c031,4,1,3,171480,172676,169041,1800.008619025,1800.397099584
c031,4,1,4,183986,184722,181488,2400.009062228,2400.469218047
c031,4,1,5,80817,81878,81087,3000.013565246,3000.537544204
c031,4,1,6,61695,62383,62081,3600.0169480229997,3600.633738772
c031,4,1,7,45291,45993,45682,4200.021811733,4200.731306103
c031,4,1,8,39135,39755,39397,4800.023216382,4800.806062717
c031,4,1,9,39150,39931,39756,5400.03432385,5400.929829127
c031,4,1,10,31494,32220,32041,6000.037212842,6001.006795807
c031,4,1,11,26972,27748,27580,6600.049781972,6601.128076308
# search time: 6600.050s
# total time: 33012.795s
